Metric,QEA,QEA0,REA-BTS,REA-DB1-BCST,REA-DB1-BTS,REA-DB1-BW,REA-LDB-BCST,REA-LDB-BTS,REA-LDB-BW,scalar,station,QC,QEA0_rel,REA-BTS_rel,REA-LDB-BTS_rel,REA-LDB-BCST_rel,REA-LDB-BW_rel,REA-DB1-BTS_rel,REA-DB1-BCST_rel,REA-DB1-BW_rel
Er_mean,-0.000584329739053351,-0.0898654094378506,0.197850009626812,-0.181422857190084,-0.829335060468861,-0.0880487014187199,0.0712361235210862,0.211995096235641,0.316912477902114,co2,Braunschweig,FALSE,153.79,338.59,362.8,121.91,542.35,1419.29,310.48,150.68
Er_mean_rel,0.000156304052055689,0.0240383583035419,-0.0529234713503164,0.0485293248299685,0.221841234151694,0.023552401820731,-0.0190551567290138,-0.0567071814815523,-0.0847718353739083,co2,Braunschweig,FALSE,153.79,338.59,362.8,121.91,542.35,1419.29,310.48,150.68
flux_mean,-3.73841708751838,-3.73841708751838,-3.73841708751838,-3.73841708751838,-3.73841708751838,-3.73841708751838,-3.73841708751838,-3.73841708751838,-3.73841708751838,co2,Braunschweig,FALSE,1,1,1,1,1,1,1,1
flux_sum,-11761.0601573328,-11761.0601573328,-11761.0601573328,-11761.0601573328,-11761.0601573328,-11761.0601573328,-11761.0601573328,-11761.0601573328,-11761.0601573328,co2,Braunschweig,FALSE,1,1,1,1,1,1,1,1
flux_sd,10.1547163668943,10.1547163668943,10.1547163668943,10.1547163668943,10.1547163668943,10.1547163668943,10.1547163668943,10.1547163668943,10.1547163668943,co2,Braunschweig,FALSE,1,1,1,1,1,1,1,1
Er_sum,-1.83830135906184,-282.716578091478,622.436130285952,-570.756308720006,-2609.08810023504,-277.001214663293,224.108844597337,666.936572757328,997.006655480051,co2,Braunschweig,FALSE,153.79,338.59,362.8,121.91,542.35,1419.29,310.48,150.68
MAE,0.0557258558034192,0.681369237957131,1.17023159638067,0.696450483140938,1.85665630921037,0.630861084963688,0.682906363927212,1.07379418002171,0.927056039277478,co2,Braunschweig,FALSE,12.23,21,19.27,12.25,16.64,33.32,12.5,11.32
MAE_rel,0.0210978350581296,0.330293072763258,0.714758924164266,0.441356888152725,0.832538484383766,0.422664597172454,0.439124584713932,0.671565149205995,0.47043464584974,co2,Braunschweig,FALSE,15.66,33.88,31.83,20.81,22.3,39.46,20.92,20.03
Er_sd,0.09754044755247,1.14469517083079,6.60656323814425,1.44131564651446,39.274161706806,1.37304199487599,1.3997031327019,7.03613296926358,1.66170146966139,co2,Braunschweig,FALSE,11.74,67.73,72.14,14.35,17.04,402.64,14.78,14.08
Er_rmse,0.097526694541369,1.14803585318768,6.60847552316778,1.45246160649653,39.2766760565437,1.37564444617802,1.40129250901768,7.03820804879122,1.69139220481747,co2,Braunschweig,FALSE,11.77,67.76,72.17,14.37,17.34,402.73,14.89,14.11
Er_intercept,0.000700444504256031,0.110309757718544,0.189550647344139,-0.0909615615016663,-0.705928827405195,-0.0181490519599967,0.0238860325190177,0.166751694745221,0.031300967902552,co2,Braunschweig,FALSE,157.49,270.61,238.07,34.1,44.69,1007.83,129.86,25.91
Median_er_ratio,0.99964887084523,0.926909451811853,1.00422877659651,0.994803026191131,0.996883085533343,0.995236624548641,1.00297987669235,1.00284329861713,1.062535310194,co2,Braunschweig,FALSE,0.93,1,1,1,1.06,1,1,1
Er_slope,0.000343667978513929,0.0535454344633527,-0.00222002042264941,0.0241977536402893,0.0330102902310409,0.018697659416361,-0.0126658128008665,-0.0121022883298592,-0.0763990489325399,co2,Braunschweig,FALSE,155.81,6.46,35.22,36.85,222.3,96.05,70.41,54.41
Er_slope1,0.000700444504256031,0.110309757718544,0.189550647344139,-0.0909615615016663,-0.705928827405195,-0.0181490519599967,0.0238860325190177,0.166751694745221,0.031300967902552,co2,Braunschweig,FALSE,157.49,270.61,238.07,34.1,44.69,1007.83,129.86,25.91
Er_slope1.p,0.705341125086492,9.05906072033964e-09,0.131163656714667,0.000759121237557285,0.344242205535347,0.482501199903359,0.367186264002679,0.212344590483987,0.262383194997039,co2,Braunschweig,FALSE,0,0.19,0.3,0.52,0.37,0.49,0,0.68
Er_intercept.p,0.705341125086492,9.05906072033964e-09,0.131163656714667,0.000759121237557285,0.344242205535347,0.482501199903359,0.367186264002679,0.212344590483987,0.262383194997039,co2,Braunschweig,FALSE,0,0.19,0.3,0.52,0.37,0.49,0,0.68
Er_slope.p,0.044788769628576,7.96631794828374e-177,0.848275997842496,6.02621972764023e-22,0.632260724122781,6.66914573922659e-15,2.4318437246944e-07,0.327403519814031,4.23479503161766e-170,co2,Braunschweig,FALSE,0,18.94,7.31,0,0,14.12,0,0
Er_intercept.se,0.00185226920528918,0.0191408423733692,0.125536662662491,0.026986821280681,0.746257339536421,0.0258397756945263,0.0264845224960567,0.133679648050785,0.0279229307921941,co2,Braunschweig,FALSE,10.33,67.77,72.17,14.3,15.07,402.89,14.57,13.95
Er_slope.se,0.000171197543707288,0.00176910850185925,0.0116028319380679,0.00249427972053276,0.0689734640825197,0.00238826306468748,0.00244785433166959,0.0123554542312742,0.00258080043175252,co2,Braunschweig,FALSE,10.33,67.77,72.17,14.3,15.07,402.89,14.57,13.95
