Metric,QEA,QEA0,REA-BTS,REA-DB1-BCST,REA-DB1-BTS,REA-DB1-BW,REA-LDB-BCST,REA-LDB-BTS,REA-LDB-BW,scalar,station,QC,QEA0_rel,REA-BTS_rel,REA-LDB-BTS_rel,REA-LDB-BCST_rel,REA-LDB-BW_rel,REA-DB1-BTS_rel,REA-DB1-BCST_rel,REA-DB1-BW_rel
Er_mean,0.000289030871268129,0.122839299985562,0.0782430882099683,-0.203364274584482,-0.214430617887968,-0.150871069611798,0.21640707204382,-0.0545116581406881,0.83505527412857,co2,Hainich,FALSE,425,270.71,188.6,748.73,2889.16,741.9,703.61,521.99
Er_mean_rel,-4.10780678416758e-05,-0.0174583464952773,-0.0111201785177115,0.0289028346048366,0.0304756216188512,0.0214423186203882,-0.030756522124544,0.00774738553511858,-0.118680945920067,co2,Hainich,FALSE,425,270.71,188.6,748.73,2889.16,741.9,703.61,521.99
flux_mean,-7.03613598337,-7.03613598337,-7.03613598337,-7.03613598337,-7.03613598337,-7.03613598337,-7.03613598337,-7.03613598337,-7.03613598337,co2,Hainich,FALSE,1,1,1,1,1,1,1,1
flux_sum,-24556.1145819613,-24556.1145819613,-24556.1145819613,-24556.1145819613,-24556.1145819613,-24556.1145819613,-24556.1145819613,-24556.1145819613,-24556.1145819613,co2,Hainich,FALSE,1,1,1,1,1,1,1,1
flux_sd,11.3775530865882,11.3775530865882,11.3775530865882,11.3775530865882,11.3775530865882,11.3775530865882,11.3775530865882,11.3775530865882,11.3775530865882,co2,Hainich,FALSE,1,1,1,1,1,1,1,1
Er_sum,1.00871774072577,428.709156949611,273.068377852789,-709.741318299842,-748.362856429007,-526.540032945176,755.260681432931,-190.245686911001,2914.34290670871,co2,Hainich,FALSE,425,270.71,188.6,748.73,2889.16,741.9,703.61,521.99
MAE,0.0219794857549451,0.551815091418115,0.901850137871225,0.601394228339272,0.843649762754748,0.568730319680905,0.669013101766783,0.944555803936984,1.18902287376793,co2,Hainich,FALSE,25.11,41.03,42.97,30.44,54.1,38.38,27.36,25.88
MAE_rel,0.012290721630314,0.521529959170045,1.79734642821442,0.722544408235378,1.25832376922052,0.644408190706972,0.854547401640368,0.860246549955134,0.818561824250443,co2,Hainich,FALSE,42.43,146.24,69.99,69.53,66.6,102.38,58.79,52.43
Er_sd,0.0316508544912339,0.854541887795655,7.17330563347776,0.984157094293865,11.5866836085584,0.943120705410904,1.08979034517956,16.7698910219671,1.7358312260631,co2,Hainich,FALSE,27,226.64,529.84,34.43,54.84,366.08,31.09,29.8
Er_rmse,0.0316476395149296,0.863204548916019,7.17270463372821,1.00481077252629,11.5870078161516,0.954978471090658,1.11091616174413,16.7675768960217,1.9260228453764,co2,Hainich,FALSE,27.28,226.64,529.82,35.1,60.86,366.13,31.75,30.18
